frame,x,y,z,confidence,source
0,0.8563123356886867,-0.8540474123490233,1.3948321863144952,1.0,lander
0,0.854836235463244,0.8565136827751663,1.3481571289962937,1.0,lander
0,-0.8563488793998282,0.8552176772406965,1.3547770263300547,1.0,lander
0,-0.8548727791743855,-0.8553434178834932,1.4014520836482562,1.0,lander
2,0.8563123356886867,-0.8540474123490233,1.3948321863144952,1.0,rover
2,0.854836235463244,0.8565136827751663,1.3481571289962937,1.0,rover
2,-0.8563488793998282,0.8552176772406965,1.3547770263300547,1.0,rover
2,-0.8548727791743855,-0.8553434178834932,1.4014520836482562,1.0,rover
60,-2.358074055875182,-2.898106584060907,1.3342254188246014,0.6,depth
60,-2.279235262520896,-2.9706132615368483,1.383594366658006,0.6,depth
60,-3.2145346751495953,-3.2727115871320986,1.285588468148156,0.6,depth
60,-2.0993615201058686,-2.8917929996447884,1.3033857890446099,0.6,depth
60,-2.827512231575171,-3.07412062486391,1.307538800024361,0.6,depth
60,-2.9779400403856195,-3.194466498768371,1.3397176779076672,0.6,depth
60,-2.7764250511701856,-2.9290525870250113,1.2721155061207599,0.6,depth
60,-2.5226238960281284,-3.0100596076725528,1.29881810237984,0.6,depth
60,-2.047922739387989,-2.886439596399801,1.2022860204874513,0.6,depth
60,-2.304552501563553,-2.967828785830121,1.2608183560827642,0.6,depth
62,-2.410906904884411,-4.309372515381643,1.3926863033105261,1.0,rover
62,-2.0266175267148556,-4.178989814299489,1.3801155004491972,1.0,rover
62,-2.2687253608892215,-4.729765943487402,1.3789104493394821,1.0,rover
62,-1.8844359827196662,-4.599383242405248,1.3663396464781532,1.0,rover
80,-2.985688350878383,-2.9825342744645873,1.1566237992389403,0.6,depth
80,-3.0386093658249695,-3.201747776336112,1.3124521163958514,0.6,depth
80,-3.0842498943789995,-3.1862580839799928,1.365905470393821,0.6,depth
80,-2.271380702757752,-2.886745492591718,1.258659047465755,0.6,depth
80,-2.086491237206106,-2.895937634763926,1.2594440274334655,0.6,depth
80,-2.164432572426213,-2.922864607647722,1.2785911581656995,0.6,depth
80,-2.421932329047517,-2.9412174118010554,1.267248016164482,0.6,depth
80,-2.9396442858821112,-3.0999265292592844,1.2482903796425533,0.6,depth
80,-2.614453873994336,-3.079043142052948,1.4107847288532624,0.6,depth
80,-2.2158138708916724,-2.9397580034841213,1.2649351987165076,0.6,depth
80,-2.1309183416304283,-2.8910190456224454,1.2536195497329352,0.6,depth
80,-2.330817247603854,-2.977563491845854,1.2341895923329198,0.6,depth
80,-2.46373683097281,-2.864791300360342,1.2483484789767272,0.6,depth
80,-3.1499518662326564,-3.198410946192608,1.36304973408089,0.6,depth
80,-2.0390169238366145,-2.878115266609118,1.204241863148553,0.6,depth
80,-2.5495939566968246,-2.887894053148174,1.282471093193433,0.6,depth
82,-2.413974999963812,-4.304421509698578,1.3924959961563432,1.0,rover
82,-2.0295954868338537,-4.174300268126885,1.37997192422197,1.0,rover
82,-2.2720764565609914,-4.72491223595315,1.3787718381107439,1.0,rover
82,-1.887696943431033,-4.594790994381457,1.3662477661763703,1.0,rover
260,-4.350471724881052,-2.406049019412417,1.218379459561863,0.6,depth
260,-4.026250036700179,-2.113980241997547,1.2976142440377842,0.6,depth
