frame,x,y,z,confidence,source
0,0.8563123356886867,-0.8540474123490233,1.3948321863144952,1.0,lander
0,0.854836235463244,0.8565136827751663,1.3481571289962937,1.0,lander
0,-0.8563488793998282,0.8552176772406965,1.3547770263300547,1.0,lander
0,-0.8548727791743855,-0.8553434178834932,1.4014520836482562,1.0,lander
2,0.8563123356886867,-0.8540474123490233,1.3948321863144952,1.0,rover
2,0.854836235463244,0.8565136827751663,1.3481571289962937,1.0,rover
2,-0.8563488793998282,0.8552176772406965,1.3547770263300547,1.0,rover
2,-0.8548727791743855,-0.8553434178834932,1.4014520836482562,1.0,rover
60,-2.126716438918717,-2.7897188316860575,1.317637514539225,0.6,depth
60,-1.9926737200905948,-2.7764429557082937,1.3147266295422804,0.6,depth
60,-3.02446553607645,-2.8943966384605933,1.2090123680679392,0.6,depth
60,-2.7806778859564285,-2.8719929679646565,1.2994226835377005,0.6,depth
60,-2.694117441184802,-2.8083766921316364,1.1670207078482595,0.6,depth
60,-2.4038924250660867,-2.8172192240948637,1.3248751815611273,0.6,depth
60,-2.773451110316553,-2.862707527098732,1.2244462214511032,0.6,depth
60,-2.1025289672060583,-2.7679357576133805,1.1680787103770371,0.6,depth
60,-1.8030859509580723,-2.762213885226089,1.2128193457828274,0.6,depth
60,-2.779604552366049,-2.6870590683801643,1.264571176798664,0.6,depth
62,-2.496229528975287,-4.085589598338227,1.2977470628938335,1.0,rover
62,-2.092219644953554,-4.045731747281106,1.292913293985996,1.0,rover
62,-2.4528792817011196,-4.5271216138095225,1.2802474807524173,1.0,rover
62,-2.0488693976793866,-4.487263762752402,1.2754137118445799,1.0,rover
80,-2.777699150839902,-2.8608125073746073,1.2632970924937843,0.6,depth
80,-3.1465852512093604,-2.928859545226497,1.3484673155520923,0.6,depth
80,-2.3290342043363697,-2.747114365227874,1.2091114421291973,0.6,depth
80,-2.5496868630945633,-2.794951335242653,1.2201090381500617,0.6,depth
80,-2.543746978111643,-2.8628463061523,1.3473613520636647,0.6,depth
80,-2.0355295399487328,-2.8060532743645847,1.2111108519679443,0.6,depth
80,-2.032490138396204,-2.791267507551889,1.343944628215008,0.6,depth
80,-1.7446587706170131,-2.763557486488828,1.1828752926037662,0.6,depth
80,-2.8556331566448803,-2.8852906367124023,1.2663800216141095,0.6,depth
80,-2.868986370550685,-2.87395291225898,1.1756791164883114,0.6,depth
82,-2.4975098264247793,-4.096101943699205,1.321140782910691,1.0,rover
82,-2.0935179916939752,-4.056329659586949,1.3144502756554337,1.0,rover
82,-2.454285135968467,-4.537729293583964,1.3058793947457603,1.0,rover
82,-2.050293301237663,-4.497957009471708,1.299188887490503,1.0,rover
260,-3.3269027368967867,-1.6120138170600509,1.201212135478697,0.6,depth
260,-4.238619424645567,-1.970314142227052,1.3245436135172572,0.6,depth
260,-3.175534700523692,-1.5090335027051716,1.2650998641157545,0.6,depth
260,-3.3098984512449046,-1.6154217706554235,1.2880631635710926,0.6,depth
260,-3.6543970300027824,-1.6679370053406466,1.3220109816015668,0.6,depth
260,-3.2160280031416306,-1.5705225584710276,1.331826753930244,0.6,depth
260,-3.8132203259240964,-1.7969248064676526,1.339662634604347,0.6,depth
